env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,noclip,3,140000,484.1
HalfCheetah-v5,noclip,3,150000,470
HalfCheetah-v5,noclip,3,160000,514.9
HalfCheetah-v5,noclip,3,170000,550.2
HalfCheetah-v5,noclip,3,180000,409.4
HalfCheetah-v5,noclip,3,190000,392.4
HalfCheetah-v5,noclip,3,200000,439.8
HalfCheetah-v5,noclip,3,210000,367.7
HalfCheetah-v5,noclip,3,220000,345.2
HalfCheetah-v5,noclip,3,230000,393.8
HalfCheetah-v5,noclip,3,240000,394.5
HalfCheetah-v5,noclip,3,250000,265.5
HalfCheetah-v5,noclip,3,260000,233.8
HalfCheetah-v5,noclip,3,270000,310.3
HalfCheetah-v5,noclip,3,280000,334.4
HalfCheetah-v5,noclip,3,290000,360.3
HalfCheetah-v5,noclip,3,300000,355.8
HalfCheetah-v5,noclip,3,310000,327
HalfCheetah-v5,noclip,3,320000,343.8
HalfCheetah-v5,noclip,3,330000,347.1
HalfCheetah-v5,noclip,3,340000,347.1
HalfCheetah-v5,noclip,3,350000,391.3
HalfCheetah-v5,noclip,3,360000,407.4
HalfCheetah-v5,noclip,3,370000,397.1
HalfCheetah-v5,noclip,3,380000,406.1
HalfCheetah-v5,noclip,3,390000,432.5
HalfCheetah-v5,noclip,3,400000,420.4
HalfCheetah-v5,noclip,3,410000,399.6
HalfCheetah-v5,noclip,3,420000,392.7
HalfCheetah-v5,noclip,3,430000,357.2
HalfCheetah-v5,noclip,3,440000,382.6
HalfCheetah-v5,noclip,3,450000,390.1
HalfCheetah-v5,noclip,3,460000,363.5
HalfCheetah-v5,noclip,3,470000,369.4
HalfCheetah-v5,noclip,3,480000,412.4
HalfCheetah-v5,noclip,3,490000,433
HalfCheetah-v5,noclip,3,500000,428.8
HalfCheetah-v5,noclip,3,510000,465.4
HalfCheetah-v5,noclip,3,520000,470.5
HalfCheetah-v5,noclip,3,530000,425.6
HalfCheetah-v5,noclip,3,540000,373.8
HalfCheetah-v5,noclip,3,550000,397.8
HalfCheetah-v5,noclip,3,560000,415.3
HalfCheetah-v5,noclip,3,570000,351
HalfCheetah-v5,noclip,3,580000,381.9
HalfCheetah-v5,noclip,3,590000,450.9
HalfCheetah-v5,noclip,3,600000,457.3
HalfCheetah-v5,noclip,3,610000,490.9
HalfCheetah-v5,noclip,3,620000,460.7
HalfCheetah-v5,noclip,3,630000,432.6
HalfCheetah-v5,noclip,3,640000,475.7
HalfCheetah-v5,noclip,3,650000,503.2
HalfCheetah-v5,noclip,3,660000,481.3
HalfCheetah-v5,noclip,3,670000,461.7
HalfCheetah-v5,noclip,3,680000,477.3
HalfCheetah-v5,noclip,3,690000,494.4
HalfCheetah-v5,noclip,3,700000,483.3
HalfCheetah-v5,noclip,3,710000,443.1
HalfCheetah-v5,noclip,3,720000,463.5
HalfCheetah-v5,noclip,3,730000,480.9
HalfCheetah-v5,noclip,3,740000,445.6
HalfCheetah-v5,noclip,3,750000,440.3
HalfCheetah-v5,noclip,3,760000,458.2
HalfCheetah-v5,noclip,3,770000,427.7
HalfCheetah-v5,noclip,3,780000,429
HalfCheetah-v5,noclip,3,790000,425.7
HalfCheetah-v5,noclip,3,800000,412.7
HalfCheetah-v5,noclip,3,810000,413.8
HalfCheetah-v5,noclip,3,820000,369.6
HalfCheetah-v5,noclip,3,830000,362.5
HalfCheetah-v5,noclip,3,840000,397.4
HalfCheetah-v5,noclip,3,850000,420.3
HalfCheetah-v5,noclip,3,860000,402
HalfCheetah-v5,noclip,3,870000,390.5
HalfCheetah-v5,noclip,3,880000,396.9
HalfCheetah-v5,noclip,3,890000,389.7
HalfCheetah-v5,noclip,3,900000,393
HalfCheetah-v5,noclip,3,910000,395.2
HalfCheetah-v5,noclip,3,920000,357.6
HalfCheetah-v5,noclip,3,930000,347.1
HalfCheetah-v5,noclip,3,940000,388.9
HalfCheetah-v5,noclip,3,950000,382.3
HalfCheetah-v5,noclip,3,960000,377.3
HalfCheetah-v5,noclip,3,970000,408.3
HalfCheetah-v5,noclip,3,980000,400
HalfCheetah-v5,noclip,3,990000,392.6
HalfCheetah-v5,noclip,3,1000000,415.8
HalfCheetah-v5,clip0.1,1,10000,-324.4
HalfCheetah-v5,clip0.1,1,20000,-338.3
HalfCheetah-v5,clip0.1,1,30000,-310.6
HalfCheetah-v5,clip0.1,1,40000,-280
HalfCheetah-v5,clip0.1,1,50000,-274.2
HalfCheetah-v5,clip0.1,1,60000,-254.8
HalfCheetah-v5,clip0.1,1,70000,-239.9
HalfCheetah-v5,clip0.1,1,80000,-207.6
HalfCheetah-v5,clip0.1,1,90000,-167.6
HalfCheetah-v5,clip0.1,1,100000,-122.4
HalfCheetah-v5,clip0.1,1,110000,-103.7
HalfCheetah-v5,clip0.1,1,120000,-61.16
HalfCheetah-v5,clip0.1,1,130000,-0.9178
HalfCheetah-v5,clip0.1,1,140000,19.18
HalfCheetah-v5,clip0.1,1,150000,77.23
HalfCheetah-v5,clip0.1,1,160000,160.3
HalfCheetah-v5,clip0.1,1,170000,198.2
HalfCheetah-v5,clip0.1,1,180000,248.7
HalfCheetah-v5,clip0.1,1,190000,308.1
HalfCheetah-v5,clip0.1,1,200000,356.8
HalfCheetah-v5,clip0.1,1,210000,417.3
HalfCheetah-v5,clip0.1,1,220000,448.2
HalfCheetah-v5,clip0.1,1,230000,483.4
HalfCheetah-v5,clip0.1,1,240000,485.1
HalfCheetah-v5,clip0.1,1,250000,495.3
HalfCheetah-v5,clip0.1,1,260000,567.7
HalfCheetah-v5,clip0.1,1,270000,633.2
HalfCheetah-v5,clip0.1,1,280000,661.9
HalfCheetah-v5,clip0.1,1,290000,687.9
HalfCheetah-v5,clip0.1,1,300000,747.2
HalfCheetah-v5,clip0.1,1,310000,809.1
HalfCheetah-v5,clip0.1,1,320000,854.1
HalfCheetah-v5,clip0.1,1,330000,894.4
HalfCheetah-v5,clip0.1,1,340000,921.2
HalfCheetah-v5,clip0.1,1,350000,934.9
HalfCheetah-v5,clip0.1,1,360000,974.7
HalfCheetah-v5,clip0.1,1,370000,1005
HalfCheetah-v5,clip0.1,1,380000,1001
