global_step,return,length
50597,77.0,78
50682,84.0,85
50753,70.0,71
50830,76.0,77
50913,82.0,83
50988,74.0,75
51065,76.0,77
51142,76.0,77
51224,81.0,82
52224,1000.0,1000
53224,1000.0,1000
53471,246.0,247
53529,57.0,58
53636,106.0,107
53733,96.0,97
53772,38.0,39
53819,46.0,47
53908,88.0,89
54001,92.0,93
54259,257.0,258
54310,50.0,51
54335,24.0,25
54352,16.0,17
54417,64.0,65
54544,126.0,127
54600,55.0,56
54653,52.0,53
54737,83.0,84
54833,95.0,96
54886,52.0,53
54940,53.0,54
54993,52.0,53
55038,44.0,45
55081,42.0,43
55166,84.0,85
55223,56.0,57
55271,47.0,48
56271,1000.0,1000
57271,1000.0,1000
58271,1000.0,1000
59271,1000.0,1000
59455,183.0,184
59617,161.0,162
59701,83.0,84
59871,169.0,170
60028,156.0,157
60126,97.0,98
60393,266.0,267
60477,83.0,84
60592,114.0,115
60634,41.0,42
60647,12.0,13
60718,70.0,71
60793,74.0,75
60829,35.0,36
60980,150.0,151
61062,81.0,82
61139,76.0,77
61278,138.0,139
61325,46.0,47
61378,52.0,53
62378,1000.0,1000
63378,1000.0,1000
64378,1000.0,1000
65378,1000.0,1000
66378,1000.0,1000
67378,1000.0,1000
68378,1000.0,1000
69378,1000.0,1000
70378,1000.0,1000
71378,1000.0,1000
72378,1000.0,1000
73378,1000.0,1000
73744,365.0,366
73759,14.0,15
73784,24.0,25
73799,14.0,15
73815,15.0,16
73829,13.0,14
73851,21.0,22
73868,16.0,17
73890,21.0,22
73902,11.0,12
73918,15.0,16
73941,22.0,23
73956,14.0,15
73982,25.0,26
74007,24.0,25
74037,29.0,30
74077,39.0,40
74093,15.0,16
74101,7.0,8
74109,7.0,8
74125,15.0,16
74133,7.0,8
74156,22.0,23
74165,8.0,9
74183,17.0,18
74211,27.0,28
74227,15.0,16
74251,23.0,24
74266,14.0,15
74287,20.0,21
74306,18.0,19
74314,7.0,8
74327,12.0,13
74344,16.0,17
74360,15.0,16
74374,13.0,14
74410,35.0,36
74426,15.0,16
74441,14.0,15
74455,13.0,14
74468,12.0,13
74495,26.0,27
74510,14.0,15
74518,7.0,8
74534,15.0,16
74549,14.0,15
74577,27.0,28
74600,22.0,23
74615,14.0,15
74628,12.0,13
74643,14.0,15
74658,14.0,15
74701,42.0,43
74719,17.0,18
74733,13.0,14
74759,25.0,26
74778,18.0,19
74793,14.0,15
74820,26.0,27
74847,26.0,27
74884,36.0,37
74900,15.0,16
74915,14.0,15
74935,19.0,20
74962,26.0,27
74977,14.0,15
74992,14.0,15
75006,13.0,14
75014,7.0,8
75030,15.0,16
75052,21.0,22
75072,19.0,20
75087,14.0,15
75102,14.0,15
75115,12.0,13
75131,15.0,16
75164,32.0,33
75188,23.0,24
75197,8.0,9
75212,14.0,15
75227,14.0,15
75241,13.0,14
75264,22.0,23
75287,22.0,23
75312,24.0,25
75321,8.0,9
75341,19.0,20
75366,24.0,25
75381,14.0,15
75401,19.0,20
75422,20.0,21
75438,15.0,16
75467,28.0,29
75482,14.0,15
75490,7.0,8
75504,13.0,14
75520,15.0,16
75534,13.0,14
75548,13.0,14
75563,14.0,15
75590,26.0,27
75599,8.0,9
75613,13.0,14
75636,22.0,23
75648,11.0,12
75675,26.0,27
75697,21.0,22
75723,25.0,26
75737,13.0,14
75753,15.0,16
75773,19.0,20
76095,321.0,322
76445,349.0,350
77445,1000.0,1000
77685,239.0,240
78685,1000.0,1000
79685,1000.0,1000
80685,1000.0,1000
81685,1000.0,1000
82685,1000.0,1000
83685,1000.0,1000
84685,1000.0,1000
85685,1000.0,1000
86685,1000.0,1000
87685,1000.0,1000
88258,572.0,573
88334,75.0,76
88373,38.0,39
88414,40.0,41
88429,14.0,15
88547,117.0,118
88561,13.0,14
88575,13.0,14
88627,51.0,52
88670,42.0,43
88708,37.0,38
88724,15.0,16
88732,7.0,8
88781,48.0,49
88837,55.0,56
88852,14.0,15
88928,75.0,76
88962,33.0,34
88978,15.0,16
89017,38.0,39
89034,16.0,17
89050,15.0,16
89091,40.0,41
89135,43.0,44
89168,32.0,33
89194,25.0,26
89215,20.0,21
89228,12.0,13
89276,47.0,48
89320,43.0,44
89334,13.0,14
89387,52.0,53
89429,41.0,42
89470,40.0,41
89505,34.0,35
89561,55.0,56
89602,40.0,41
89649,46.0,47
89690,40.0,41
89711,20.0,21
89819,107.0,108
89933,113.0,114
89967,33.0,34
89981,13.0,14
89989,7.0,8
90033,43.0,44
90071,37.0,38
90100,28.0,29
90114,13.0,14
91114,1000.0,1000
92114,1000.0,1000
93114,1000.0,1000
94114,1000.0,1000
95114,1000.0,1000
96114,1000.0,1000
97114,1000.0,1000
98114,1000.0,1000
99114,1000.0,1000
100114,1000.0,1000
101114,1000.0,1000
102114,1000.0,1000
103114,1000.0,1000
104114,1000.0,1000
105114,1000.0,1000
106114,1000.0,1000
107114,1000.0,1000
108114,1000.0,1000
109114,1000.0,1000
110114,1000.0,1000
111114,1000.0,1000
112114,1000.0,1000
113114,1000.0,1000
114114,1000.0,1000
115114,1000.0,1000
116114,1000.0,1000
117114,1000.0,1000
118114,1000.0,1000
118117,2.0,3
118120,2.0,3
119120,1000.0,1000
120120,1000.0,1000
121120,1000.0,1000
122120,1000.0,1000
123120,1000.0,1000
124120,1000.0,1000
125120,1000.0,1000
126120,1000.0,1000
127120,1000.0,1000
128120,1000.0,1000
129120,1000.0,1000
130120,1000.0,1000
131120,1000.0,1000
132120,1000.0,1000
133120,1000.0,1000
134120,1000.0,1000
135120,1000.0,1000
136120,1000.0,1000
137120,1000.0,1000
138120,1000.0,1000
139120,1000.0,1000
140120,1000.0,1000
141120,1000.0,1000
142120,1000.0,1000
143120,1000.0,1000
143874,753.0,754
143965,90.0,91
143973,7.0,8
143993,19.0,20
144019,25.0,26
144047,27.0,28
144289,241.0,242
144329,39.0,40
144337,7.0,8
144364,26.0,27
144395,30.0,31
144404,8.0,9
145205,800.0,801
145231,25.0,26
146231,1000.0,1000
147231,1000.0,1000
148231,1000.0,1000
149231,1000.0,1000
150231,1000.0,1000
151231,1000.0,1000
152231,1000.0,1000
153231,1000.0,1000
154231,1000.0,1000
155231,1000.0,1000
155895,663.0,664
156895,1000.0,1000
157895,1000.0,1000
158895,1000.0,1000
159895,1000.0,1000
160895,1000.0,1000
161895,1000.0,1000
162895,1000.0,1000
163895,1000.0,1000
164895,1000.0,1000
165895,1000.0,1000
166895,1000.0,1000
167895,1000.0,1000
168895,1000.0,1000
169895,1000.0,1000
170895,1000.0,1000
171895,1000.0,1000
172895,1000.0,1000
173895,1000.0,1000
174632,736.0,737
175196,563.0,564
176196,1000.0,1000
177196,1000.0,1000
178196,1000.0,1000
179196,1000.0,1000
180196,1000.0,1000
181196,1000.0,1000
182196,1000.0,1000
182774,577.0,578
183774,1000.0,1000
184774,1000.0,1000
185774,1000.0,1000
186774,1000.0,1000
187774,1000.0,1000
188774,1000.0,1000
189774,1000.0,1000
190774,1000.0,1000
191774,1000.0,1000
192774,1000.0,1000
193774,1000.0,1000
194774,1000.0,1000
195774,1000.0,1000
196774,1000.0,1000
197774,1000.0,1000
198774,1000.0,1000
199774,1000.0,1000
200774,1000.0,1000
201774,1000.0,1000
202774,1000.0,1000
203774,1000.0,1000
204774,1000.0,1000
205774,1000.0,1000
206774,1000.0,1000
207774,1000.0,1000
208774,1000.0,1000
209774,1000.0,1000
210774,1000.0,1000
211774,1000.0,1000
212774,1000.0,1000
213774,1000.0,1000
214774,1000.0,1000
215774,1000.0,1000
216774,1000.0,1000
217774,1000.0,1000
218774,1000.0,1000
219774,1000.0,1000
220774,1000.0,1000
221774,1000.0,1000
222774,1000.0,1000
223774,1000.0,1000
224774,1000.0,1000
225774,1000.0,1000
226774,1000.0,1000
227774,1000.0,1000
228774,1000.0,1000
229774,1000.0,1000
230774,1000.0,1000
231774,1000.0,1000
232774,1000.0,1000
233774,1000.0,1000
234774,1000.0,1000
235774,1000.0,1000
236774,1000.0,1000
237774,1000.0,1000
238774,1000.0,1000
239774,1000.0,1000
240774,1000.0,1000
241774,1000.0,1000
242774,1000.0,1000
243774,1000.0,1000
244774,1000.0,1000
245774,1000.0,1000
